COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE
Bhutan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,2024,4.26,Units
Bhutan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,2025,2.42,Units
"Taiwan Province of China","Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2020,-2.91,Units
"Taiwan Province of China","Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2021,-2.06,Units
"Taiwan Province of China","Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2022,-1.71,Units
"Taiwan Province of China","Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2023,-2.50,Units
"Taiwan Province of China","Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2024,-1.45,Units
"Taiwan Province of China","Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2025,-0.32,Units
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2020,-6.73,Units
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2021,1.13,Units
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2022,1.21,Units
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2023,3.47,Units
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2024,4.44,Units
Singapore,"Net lending (+) / net borrowing (-), General government, Percent of fiscal year GDP",Annual,2025,3.11,Units
"Sri Lanka","Unemployment rate",Annual,2020,5.50,Units
"Sri Lanka","Unemployment rate",Annual,2021,5.10,Units
"Sri Lanka","Unemployment rate",Annual,2022,5.25,Units
"Sri Lanka","Unemployment rate",Annual,2023,5.00,Units
"Sri Lanka","Unemployment rate",Annual,2024,4.75,Units
Samoa,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,0.95,Units
Samoa,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,-14.55,Units
Samoa,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,-10.58,Units
Samoa,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,-2.97,Units
Samoa,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,4.38,Units
Samoa,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,4.50,Units
Vanuatu,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2020,-6.36,Units
Vanuatu,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2021,-11.70,Units
Vanuatu,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2022,-17.60,Units
Vanuatu,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2023,-6.64,Units
Vanuatu,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2024,-15.43,Units
Vanuatu,"Current account balance (credit less debit), Percent of GDP in US dollars",Annual,2025,-11.61,Units
"Fiji, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-17.16,Units
"Fiji, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,-4.36,Units
"Fiji, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,17.74,Units
"Fiji, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,9.45,Units
"Fiji, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,3.54,Units
"Fiji, Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,3.19,Units
"Papua New Guinea","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-3.17,Units
"Papua New Guinea","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,-0.51,Units
"Papua New Guinea","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,5.71,Units
