COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE
Samoa,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-3.10,Units
Samoa,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,-5.08,Units
Samoa,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,2.27,Units
Samoa,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,15.22,Units
Samoa,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,4.56,Units
Samoa,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,2.71,Units
Thailand,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-6.05,Units
Thailand,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,1.54,Units
Thailand,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,2.63,Units
Thailand,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,2.01,Units
Thailand,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,2.54,Units
Thailand,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,2.00,Units
Kiribati,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-1.47,Units
Kiribati,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,8.48,Units
Kiribati,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,4.57,Units
Kiribati,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,2.65,Units
Kiribati,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,5.27,Units
Kiribati,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,3.90,Units
Malaysia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-5.46,Units
Malaysia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,3.32,Units
Malaysia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,9.03,Units
Malaysia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,3.54,Units
Malaysia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,5.11,Units
Malaysia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,4.50,Units
Japan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-4.17,Units
Japan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,2.70,Units
Japan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,0.96,Units
Japan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,1.25,Units
Japan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,0.10,Units
Japan,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,1.08,Units
"Timor-Leste, Democratic Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-8.49,Units
"Timor-Leste, Democratic Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,2.97,Units
"Timor-Leste, Democratic Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,3.95,Units
"Timor-Leste, Democratic Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,2.37,Units
"Timor-Leste, Democratic Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,4.10,Units
"Timor-Leste, Democratic Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,3.90,Units
Bangladesh,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,3.45,Units
Bangladesh,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,6.94,Units
Bangladesh,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,7.10,Units
Bangladesh,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,5.78,Units
Bangladesh,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,4.22,Units
Bangladesh,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,3.76,Units
Tonga,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,1.78,Units
Tonga,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,0.36,Units
Tonga,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,-2.31,Units
Tonga,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,2.08,Units
Tonga,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,2.07,Units
Tonga,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,2.72,Units
Maldives,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-32.91,Units
Maldives,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,37.51,Units
Maldives,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,13.83,Units
Maldives,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,4.89,Units
Maldives,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,3.28,Units
Maldives,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,4.79,Units
Mongolia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-4.56,Units
Mongolia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,1.64,Units
Mongolia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,5.03,Units
Mongolia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,7.42,Units
Mongolia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,5.12,Units
Mongolia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,5.50,Units
Australia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-1.95,Units
Australia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,5.42,Units
Australia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,4.13,Units
Australia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,2.07,Units
Australia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,1.02,Units
Australia,"Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,1.81,Units
"Taiwan Province of China","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,3.42,Units
"Taiwan Province of China","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,6.72,Units
"Taiwan Province of China","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,2.68,Units
"Taiwan Province of China","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,1.12,Units
"Taiwan Province of China","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,4.84,Units
"Taiwan Province of China","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,3.67,Units
"New Zealand","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,-1.31,Units
"New Zealand","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2021,5.69,Units
"New Zealand","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2022,2.86,Units
"New Zealand","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2023,1.83,Units
"New Zealand","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2024,-0.56,Units
"New Zealand","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2025,0.83,Units
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency",Annual,2020,2.34,Units
